iter	Passed	Remaining
404	8616	12658
405	8639	12639
406	8659	12617
407	8681	12596
408	8703	12576
409	8722	12551
410	8741	12527
411	8765	12509
412	8785	12486
413	8808	12468
414	8828	12445
415	8849	12422
416	8870	12401
417	8890	12379
418	8909	12354
419	8928	12329
420	8951	12310
421	8974	12292
422	8994	12268
423	9017	12250
424	9037	12227
425	9060	12208
426	9082	12187
427	9104	12168
428	9126	12147
429	9147	12125
430	9165	12100
431	9187	12079
432	9210	12060
433	9231	12039
434	9253	12018
435	9274	11997
436	9293	11973
437	9316	11954
438	9336	11930
439	9355	11907
440	9377	11886
441	9399	11865
442	9417	11841
443	9436	11816
444	9455	11792
445	9474	11768
446	9496	11748
447	9516	11726
448	9547	11716
449	9576	11704
450	9607	11695
451	9635	11682
452	9661	11666
453	9692	11657
454	9717	11639
455	9740	11619
456	9765	11603
457	9803	11601
458	9825	11580
459	9845	11557
460	9867	11537
461	9890	11517
462	9910	11495
463	9932	11473
464	9953	11451
465	9974	11429
466	9995	11408
467	10018	11388
468	10040	11367
469	10062	11346
470	10082	11324
471	10104	11302
472	10126	11282
473	10145	11259
474	10166	11236
475	10188	11215
476	10207	11192
477	10226	11167
478	10248	11147
479	10269	11124
480	10290	11102
481	10310	11080
482	10331	11058
483	10350	11035
484	10372	11014
485	10395	10994
486	10414	10970
487	10436	10949
488	10455	10925
489	10474	10902
490	10496	10881
491	10517	10859
492	10541	10840
493	10562	10819
494	10581	10795
495	10602	10773
496	10625	10753
497	10644	10729
498	10663	10706
499	10685	10685
500	10704	10662
501	10727	10641
502	10749	10620
503	10770	10599
504	10791	10578
505	10812	10555
506	10834	10535
507	10854	10512
508	10877	10492
509	10897	10469
510	10919	10449
511	10942	10430
512	10963	10407
513	10984	10386
514	11004	10363
515	11023	10339
516	11043	10317
517	11063	10294
518	11086	10274
519	11107	10253
520	11129	10232
521	11148	10208
522	11170	10187
523	11193	10168
524	11213	10145
525	11234	10123
526	11256	10103
527	11278	10082
528	11300	10061
529	11321	10039
530	11344	10019
531	11366	9999
532	11389	9979
533	11412	9958
534	11434	9937
535	11456	9917
536	11478	9896
537	11498	9874
538	11520	9853
539	11540	9831
540	11563	9810
541	11584	9789
542	11603	9765
543	11623	9743
544	11644	9721
545	11666	9700
546	11686	9678
547	11708	9657
548	11731	9637
549	11752	9616
550	11776	9596
551	11798	9575
552	11820	9554
553	11843	9534
554	11866	9514
555	11885	9490
556	11905	9469
557	11925	9446
558	11948	9426
559	11968	9403
560	11990	9383
561	12009	9359
562	12030	9337
563	12053	9317
564	12075	9296
565	12098	9277
566	12118	9254
567	12140	9233
568	12161	9212
569	12183	9191
570	12202	9167
571	12225	9147
572	12248	9127
573	12270	9106
574	12292	9085
575	12314	9064
576	12334	9042
577	12356	9021
578	12379	9001
579	12399	8979
580	12421	8957
581	12443	8936
582	12463	8914
583	12485	8893
584	12507	8872
585	12529	8852
586	12549	8829
587	12570	8807
588	12592	8787
589	12615	8766
590	12635	8744
591	12655	8722
592	12678	8701
593	12699	8679
594	12721	8659
595	12743	8638
596	12764	8616
597	12786	8595
598	12808	8574
599	12830	8553
600	12850	8531
601	12873	8511
602	12894	8489
603	12917	8469
604	12939	8448
605	12961	8427
606	12981	8404
607	13003	8383
608	13026	8363
609	13049	8342
610	13072	8322
611	13095	8302
612	13118	8282
613	13141	8261
614	13161	8239
615	13181	8217
616	13203	8196
617	13224	8174
618	13247	8153
619	13269	8132
620	13290	8111
621	13309	8088
622	13329	8066
623	13349	8044
624	13370	8022
625	13392	8000
626	13414	7980
627	13433	7957
628	13453	7935
629	13475	7914
630	13497	7893
631	13520	7872
632	13540	7850
633	13560	7828
634	13583	7807
635	13603	7785
636	13623	7763
637	13642	7740
638	13663	7719
639	13685	7698
640	13708	7677
641	13729	7655
642	13751	7635
643	13773	7613
644	13792	7591
645	13811	7568
646	13831	7546
647	13850	7523
648	13868	7500
649	13888	7478
650	13910	7457
651	13929	7434
652	13947	7411
653	13970	7391
654	13990	7368
655	14010	7347
656	14032	7325
657	14055	7305
658	14075	7283
659	14097	7262
660	14119	7241
661	14140	7219
662	14160	7197
663	14183	7177
664	14201	7154
665	14220	7131
666	14242	7110
667	14262	7088
668	14283	7066
669	14301	7044
670	14324	7023
671	14344	7001
672	14366	6980
673	14389	6959
674	14411	6939
675	14433	6917
676	14456	6897
677	14474	6874
678	14496	6853
679	14517	6831
680	14536	6809
681	14558	6788
682	14578	6766
683	14598	6744
684	14618	6722
685	14640	6701
686	14663	6680
687	14685	6659
688	14707	6638
689	14730	6618
690	14751	6596
691	14773	6575
692	14795	6554
693	14817	6533
694	14839	6512
695	14861	6491
696	14883	6470
697	14906	6449
698	14925	6427
699	14947	6406
700	14971	6385
701	14991	6363
702	15013	6342
703	15035	6321
704	15058	6300
705	15080	6280
706	15102	6258
707	15124	6237
708	15146	6216
