iter	Logloss
243	0.5513685814
244	0.5512958583
245	0.5512102927
246	0.5510791226
247	0.5510028118
248	0.5509548446
249	0.5509013424
250	0.550835325
251	0.5506250817
252	0.5505964772
253	0.5505425348
254	0.5504374408
255	0.5503925731
256	0.5502457206
257	0.5501825135
258	0.5500358143
259	0.5498814014
260	0.5498049297
261	0.5497256956
262	0.5496081545
263	0.5495777786
264	0.5495051612
265	0.5494184513
266	0.549354212
267	0.5492570346
268	0.549225143
269	0.5491484709
270	0.5490987102
271	0.5490290888
272	0.5489506065
273	0.5488282345
274	0.5487434843
275	0.5487062873
276	0.5485057682
277	0.5483987286
278	0.5483131131
279	0.5482557402
280	0.5482119874
281	0.5481453239
282	0.5480283848
283	0.5479414929
284	0.5478060112
285	0.5477202252
286	0.5476838722
287	0.5476185459
288	0.5475393456
289	0.5474756254
290	0.5472898001
291	0.5471283384
292	0.5470918958
293	0.546876469
294	0.5467238651
295	0.5466362523
296	0.5465837169
297	0.5465597572
298	0.5465100941
299	0.5464445295
300	0.5463947592
301	0.546275968
302	0.5462243049
303	0.5462016665
304	0.5460377109
305	0.5459602174
306	0.5459242318
307	0.5458838686
308	0.5458070219
309	0.5457126663
310	0.5456412299
311	0.5455023157
312	0.5454595212
313	0.5452867035
314	0.5452216471
315	0.5450735785
316	0.545017023
317	0.5449724202
318	0.5448683893
319	0.5447540454
320	0.5446467822
321	0.5445594519
322	0.5443905562
323	0.544372288
324	0.5442689329
325	0.5441496212
326	0.5441128995
327	0.5440504369
328	0.5440039284
329	0.5439672477
330	0.5439010051
331	0.5438021945
332	0.5436243815
333	0.5434628083
334	0.5434136821
335	0.5433542573
336	0.5432922333
337	0.5432151709
338	0.5431489184
339	0.5431132996
340	0.5430660794
341	0.5430039991
342	0.5429628865
343	0.5428868835
344	0.5428413197
345	0.5427818975
346	0.5427676854
347	0.5427017975
348	0.5426529897
349	0.5426155222
350	0.5425604409
351	0.5424753941
352	0.542403729
353	0.5423222888
354	0.5422697512
355	0.5422396731
356	0.5422142072
357	0.5421750268
358	0.5420471895
359	0.5420081139
360	0.5419476493
361	0.5418053382
362	0.5417838224
363	0.5416903275
364	0.5416333469
365	0.5415082795
366	0.5414714635
367	0.5414212262
368	0.541357271
369	0.5412350413
370	0.5410883354
371	0.5410177022
372	0.5409808383
373	0.5408887523
374	0.5408131122
375	0.5407157766
376	0.5406410969
377	0.5405885117
378	0.5405544784
379	0.5405130658
380	0.5404546115
381	0.5404205331
382	0.5403830812
383	0.540331056
384	0.5402380704
385	0.5401791353
386	0.5401215101
387	0.5400009745
388	0.5399507086
389	0.5398366244
390	0.5398025025
391	0.5397479687
392	0.5397068189
393	0.5396611215
394	0.539598118
395	0.53945273
396	0.5393517394
397	0.5393251028
398	0.5392817531
399	0.5392233441
400	0.53916095
401	0.539138164
402	0.53907979
403	0.5390447315
404	0.5389739902
405	0.5388405413
406	0.5387538383
407	0.5386688136
408	0.5386320149
409	0.5385789994
410	0.5385129911
411	0.5384556496
412	0.5384097179
413	0.538379584
414	0.5383409208
415	0.538314671
416	0.5382292321
417	0.5381378797
418	0.5380866541
419	0.5380333323
420	0.5379667914
421	0.5379115813
422	0.5378525523
423	0.537701952
424	0.5376795403
425	0.5376368578
426	0.537591105
427	0.5375637368
428	0.5375071677
429	0.5374580037
430	0.5373728345
431	0.5372293292
432	0.5371819193
433	0.5371101011
434	0.5370147231
435	0.5369915775
436	0.5369727165
437	0.536895908
438	0.5368678496
439	0.5368263319
440	0.5367839101
441	0.5366671028
442	0.5366380014
443	0.5365970463
444	0.5365739973
445	0.5365349849
446	0.5364981315
447	0.5364304501
448	0.5363705127
449	0.5362329639
450	0.5361834081
451	0.5360931302
452	0.5360453571
453	0.5359919585
454	0.5359281299
455	0.5358059463
456	0.5357364788
457	0.535694759
458	0.5356250688
459	0.5355842437
460	0.5355632985
461	0.5355228516
462	0.5354946287
463	0.5354608544
464	0.53538173
465	0.5353418539
466	0.5352525488
467	0.5352242691
468	0.5351181801
469	0.5350390036
470	0.5349646582
471	0.5349244661
472	0.5348917779
473	0.5348431022
474	0.5347617617
475	0.5347116247
476	0.5346780231
477	0.5346454323
478	0.5346052292
479	0.5345661221
480	0.5344935433
481	0.5344018514
482	0.5343195392
483	0.5342740817
484	0.5341589899
485	0.5340953625
486	0.5340651552
487	0.5340434788
488	0.5340175789
489	0.53397624
490	0.5338977474
491	0.5338438426
492	0.5338045639
493	0.5336771448
494	0.5336353365
495	0.5335909997
496	0.5335487786
497	0.5334906221
498	0.5334433987
499	0.5334076012
500	0.5333427817
501	0.5333076048
502	0.5332607799
503	0.5332067096
504	0.5331371905
505	0.5330852486
506	0.5330502733
507	0.5330251575
508	0.5329586539
509	0.5328631568
510	0.5328265905
511	0.5327949484
512	0.5327482416
513	0.5327173072
514	0.5326635119
515	0.5326161214
516	0.532562217
517	0.5324686431
518	0.5324520377
519	0.5323541978
520	0.5322903553
521	0.5322614025
522	0.5322179009
523	0.5321442019
524	0.5320106364
525	0.5319826439
526	0.5319319156
527	0.5317816184
528	0.5317358579
529	0.5316561119
530	0.5316277095
531	0.5315533158
532	0.5315377037
533	0.5313650611
534	0.5313007454
535	0.5312290069
536	0.5311547113
537	0.531057278
538	0.5309928723
539	0.5309306879
540	0.5308814757
541	0.5308068725
542	0.5307444623
543	0.5306792286
544	0.5306037279
545	0.5305447657
546	0.5305053405
547	0.5304791067
548	0.5304417113
549	0.5303658396
550	0.5303340731
551	0.5303053354
552	0.530270123
553	0.5302148645
554	0.5301601684
555	0.5301452184
556	0.5300296027
557	0.52998758
558	0.5299638748
559	0.5299497493
560	0.5299137114
561	0.529860167
562	0.5298188795
563	0.5297436378
564	0.5297153788
565	0.5297000975
566	0.5296300438
567	0.5295424894
568	0.5294536829
569	0.5294300464
570	0.5294170527
571	0.5293660141
572	0.5292915205
573	0.5292060715
574	0.5291949127
575	0.5291158451
576	0.5290756306
577	0.5290549455
578	0.5289737294
579	0.5288972041
580	0.5288615314
581	0.5288126724
582	0.5287386459
583	0.5287115049
584	0.5286797755
585	0.5286407442
586	0.5286230107
587	0.5285644532
588	0.5284830945
589	0.5284362432
590	0.5283885562
591	0.5283390552
592	0.5283294959
593	0.5282708073
594	0.5282522739
595	0.5281547336
596	0.5280901994
597	0.5280540666
598	0.5279724203
599	0.527940218
600	0.5279146465
601	0.5278648372
602	0.5278024004
603	0.5277708291
604	0.5277522576
605	0.5276453448
606	0.5276225831
607	0.5275864084
608	0.5275379342
609	0.5274986122
610	0.52743577
611	0.5274002269
612	0.5273706359
613	0.5273287317
614	0.5272749068
615	0.5272117313
616	0.5271875232
617	0.5271526686
618	0.5271111274
619	0.5270685779
620	0.5269972857
621	0.5269660873
622	0.5269102701
623	0.5268809538
624	0.5268465917
625	0.5267966581
626	0.5267636784
627	0.5267467065
628	0.5267218108
629	0.5266820986
630	0.526627882
631	0.5265559945
632	0.5264834248
633	0.5264391909
634	0.5264282704
635	0.5263400811
636	0.5262932448
637	0.5262573221
638	0.5262126974
639	0.5261709379
640	0.5261035919
641	0.5260811679
642	0.5260548493
643	0.5260118346
644	0.5259953393
645	0.5259444059
646	0.5259175301
647	0.5259007874
648	0.5258832764
649	0.5258335499
650	0.5257965638
651	0.5257628972
652	0.525745713
653	0.525673999
654	0.5256110198
655	0.5255562157
656	0.5255143158
657	0.5254377686
658	0.5254108036
659	0.5253956307
660	0.5253442849
661	0.5253176518
662	0.5252810429
663	0.5252612153
664	0.5252454933
665	0.5252242535
666	0.5252042524
667	0.5251410452
668	0.5250970462
669	0.5250745484
670	0.5250329557
671	0.5250077331
672	0.5249710249
673	0.5249204595
674	0.5248834696
675	0.5248329974
676	0.5248038981
677	0.5247788407
678	0.5247392115
679	0.524674641
680	0.5246352755
681	0.5246163052
682	0.5245379632
683	0.5245161353
684	0.5244812556
685	0.5244492118
686	0.5244255912
687	0.5244065202
688	0.5243433581
689	0.5243281325
690	0.5242507845
691	0.5242086178
692	0.5241925108
693	0.5241236733
694	0.5240793606
695	0.52404586
696	0.5240311042
697	0.5240125806
698	0.5239856411
699	0.523976345
700	0.5239390397
701	0.523923147
702	0.5238974866
703	0.5238851372
704	0.5238348429
705	0.5238264677
706	0.5237790456
707	0.5236973817
708	0.5236731064
709	0.5236350038
710	0.5236081144
711	0.5235939896
712	0.5235395441
713	0.5235198428
714	0.5235039038
715	0.5234576042
716	0.5234164591
717	0.5233998984
718	0.5233259039
719	0.5233038274
720	0.5232541435
721	0.523218965
722	0.5231741997
723	0.5231562751
724	0.5231420199
725	0.5231034774
726	0.5230359674
727	0.5230002888
728	0.5229637701
729	0.5229076796
730	0.5228417841
731	0.5228163453
732	0.5227631598
733	0.5227322487
734	0.5226911287
735	0.5226596608
736	0.5226166503
737	0.5225820585
738	0.5225636781
739	0.5225504184
740	0.5225145217
741	0.5224914768
742	0.5224704289
743	0.5223719421
744	0.5223365594
745	0.5223248642
746	0.5222995622
747	0.5222383861
748	0.522210182
749	0.5221934265
750	0.5221500795
751	0.5221200357
752	0.5220928583
753	0.5220650861
754	0.5220211606
755	0.522000589
756	0.5219675698
757	0.5219450344
758	0.5218921139
759	0.5218683495
760	0.5218117892
761	0.5217926981
762	0.5217256142
763	0.5216983118
764	0.521689524
765	0.5216655931
766	0.5216457003
767	0.5215945005
768	0.5215703324
769	0.5215531697
770	0.5215346616
771	0.5214898731
772	0.5214418998
773	0.5214255836
774	0.5213951701
775	0.5213877395
776	0.5213598458
777	0.5212972536
778	0.5212609539
779	0.5212016233
780	0.521173304
781	0.5211241552
782	0.5211093648
783	0.5210643572
784	0.5209909867
785	0.5209744849
786	0.5209329168
787	0.5209100814
788	0.5208769775
789	0.5208582107
790	0.5208236217
791	0.520768232
792	0.52075224
793	0.5207359899
794	0.5206772549
795	0.5206453047
796	0.52063318
797	0.5206194116
798	0.5205878654
799	0.5205124236
800	0.5204885755
801	0.5204677747
802	0.5204360057
803	0.5203897613
804	0.5203638802
805	0.5203386355
806	0.5203042609
807	0.5202875736
808	0.5202749653
809	0.5202417654
810	0.520204016
811	0.5201578918
812	0.5201280236
813	0.5200825245
814	0.5200401759
815	0.520023998
816	0.5199967701
817	0.5199820605
818	0.5199411867
819	0.5199193782
820	0.5198568078
821	0.5198481696
822	0.5198276006
823	0.5198035233
824	0.5197599914
825	0.5197110855
826	0.5196651474
827	0.5196154806
828	0.5196080311
829	0.519599004
830	0.5195475387
831	0.5195226972
832	0.519501199
833	0.5194531746
834	0.5194359803
835	0.5193866678
836	0.5193660535
837	0.5193220647
838	0.5192918884
839	0.5192464313
840	0.5192242946
841	0.5191846617
842	0.5191540835
843	0.5191237936
844	0.5190999299
845	0.5190648732
846	0.5190453161
847	0.5190328146
848	0.5189813843
849	0.5189646036
850	0.5189099598
851	0.5188476801
852	0.5188269372
853	0.5187824932
854	0.5187219607
855	0.5186784371
856	0.5186607606
857	0.5185911769
858	0.5185796782
859	0.5185712218
860	0.5185254813
861	0.5185128057
862	0.5185003332
863	0.5184644203
864	0.5184201448
865	0.5183808496
866	0.5183413245
867	0.518324327
868	0.5183086466
869	0.5182929761
870	0.5182437622
871	0.5182334794
872	0.5182019267
873	0.5181898097
874	0.5181725144
875	0.5181498839
876	0.5181285127
877	0.518114807
878	0.5180938207
879	0.5180785417
880	0.5180234554
881	0.5180087209
882	0.5179934798
883	0.517966569
884	0.5179190356
885	0.517881102
886	0.5178751713
887	0.517831183
888	0.5178201548
889	0.51780124
890	0.5177780739
891	0.5176927663
892	0.5176830792
893	0.5176566288
894	0.5176270108
895	0.5175923353
896	0.5175613895
897	0.5175465272
898	0.5175286068
899	0.5175181545
900	0.5175066652
901	0.5174768806
902	0.517470004
903	0.5174328258
904	0.5173790141
905	0.5173330153
906	0.5172798601
907	0.5172285485
908	0.5171984987
909	0.5171680702
910	0.5171619711
911	0.5171157269
912	0.5170780318
913	0.517070132
914	0.5170409233
915	0.5170122838
916	0.5169968366
917	0.516970176
918	0.5169054493
919	0.516855757
920	0.5168383907
921	0.5168133486
922	0.5167547706
923	0.5167281128
924	0.5166962915
925	0.5166632824
926	0.5166455941
927	0.5166071828
928	0.5165974786
929	0.5165681012
930	0.5165362946
931	0.5165126338
932	0.516463488
933	0.516438072
934	0.5164065042
935	0.5163829128
936	0.51636408
937	0.5163525227
938	0.5163186374
939	0.5162844244
940	0.5162630429
941	0.5162338861
942	0.5162216901
943	0.5161976574
944	0.5161846958
945	0.5161537206
946	0.5161135513
947	0.5160922455
948	0.5160639583
949	0.5160573091
950	0.5160216389
951	0.5159953421
952	0.5159843931
953	0.5159305523
954	0.5159119362
955	0.5158872608
956	0.5158556018
957	0.5158212272
958	0.5157940158
959	0.5157560342
960	0.5156961886
961	0.5156868748
962	0.5156560708
963	0.515620703
964	0.5155529597
965	0.5155186367
966	0.515507576
967	0.5154581252
968	0.5154350124
969	0.5154206593
970	0.5153598325
971	0.5153478717
972	0.5153342785
973	0.51532029
974	0.5153133263
975	0.5152892863
976	0.5152794805
977	0.5152460323
978	0.5152372719
979	0.5152098407
980	0.5151421584
981	0.5151244944
982	0.5151109487
983	0.5150805439
984	0.5149874326
985	0.5149249229
986	0.5149139426
987	0.5148991755
988	0.5148613765
989	0.5148502359
990	0.5148358884
991	0.5147892618
992	0.5147676835
993	0.5146302175
994	0.5146041656
995	0.5145796951
996	0.5145501018
997	0.51452243
998	0.5144989889
999	0.5144484934
